dataset_id,openml_did,name,n_instances,n_features,n_classes,n_numerical_features,n_categorical_features,missing_value_fraction,class_balance_ratio,openml_version,download_timestamp,class_count_bin,size_bin,balance_bin,stratum
1519,1519,robot-failures-lp4,117,90,3,90,0,0.0,0.2917,1,2026-05-02T11:56:42Z,3-4,small,imbalanced,3-4_small_imbalanced
756,756,autoPrice,159,15,2,15,0,0.0,0.5143,2,2026-05-02T11:56:42Z,binary,small,balanced,binary_small_balanced
1477,1477,gas-drift-different-concentrations,13910,129,6,129,0,0.0,0.5454,1,2026-05-02T11:56:42Z,5-7,large,balanced,5-7_large_balanced
1552,1552,autoUniv-au7-1100,1100,8,5,8,4,0.0,0.5016,1,2026-05-02T11:56:42Z,5-7,medium,balanced,5-7_medium_balanced
44683,44683,christine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,96,2,96,4,0.0,1.0,1,2026-05-02T11:56:42Z,binary,medium,balanced,binary_medium_balanced
44073,44073,MagicTelescope,13376,10,2,10,0,0.0,1.0,4,2026-05-02T11:56:42Z,binary,large,balanced,binary_large_balanced
44605,44605,cnae-9_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,1080,100,9,100,0,0.0,1.0,1,2026-05-02T11:56:42Z,8-10,medium,balanced,8-10_medium_balanced
41764,41764,FOREX_gbpusd-day-High,1834,10,2,10,1,0.0,0.9573,1,2026-05-02T11:56:42Z,binary,medium,balanced,binary_medium_balanced
41671,41671,microaggregation2,20000,20,5,20,0,0.0,0.0666,1,2026-05-02T11:56:42Z,5-7,large,imbalanced,5-7_large_imbalanced
44580,44580,Diabetes130US_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,13,3,13,36,0.0,0.2069,1,2026-05-02T11:56:42Z,3-4,medium,imbalanced,3-4_medium_imbalanced
1566,1566,hill-valley,1212,100,2,100,0,0.0,0.9804,2,2026-05-02T11:56:42Z,binary,medium,balanced,binary_medium_balanced
4153,4153,Smartphone-Based_Recognition_of_Human_Activities,180,66,6,66,0,0.0,1.0,1,2026-05-02T11:56:42Z,5-7,small,balanced,5-7_small_balanced
44791,44791,KDDCup09-Upselling_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,100,2,100,0,0.0,0.0793,1,2026-05-02T11:56:42Z,binary,medium,imbalanced,binary_medium_imbalanced
44548,44548,ozone-level-8hr_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,72,2,72,0,0.0,0.0672,1,2026-05-02T11:56:42Z,binary,medium,imbalanced,binary_medium_imbalanced
43974,43974,MiniBooNE,72998,50,2,50,0,0.0,1.0,2,2026-05-02T11:56:42Z,binary,large,balanced,binary_large_balanced
46451,46451,Credit_Score_Classification_downsampled,50000,16,3,16,11,0.0199,0.3376,7,2026-05-02T11:56:42Z,3-4,large,imbalanced,3-4_large_imbalanced
14,14,mfeat-fourier,2000,76,10,76,0,0.0,1.0,1,2026-05-02T11:56:42Z,8-10,medium,balanced,8-10_medium_balanced
1446,1446,CostaMadre1,296,37,2,37,0,0.0,0.1473,2,2026-05-02T11:56:42Z,binary,small,imbalanced,binary_small_imbalanced
40984,40984,segment,2310,16,7,16,0,0.0,1.0,3,2026-05-02T11:56:42Z,5-7,medium,balanced,5-7_medium_balanced
44740,44740,robert_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,100,10,100,0,0.0,0.9187,1,2026-05-02T11:56:42Z,8-10,medium,balanced,8-10_medium_balanced
32,32,pendigits,10992,16,10,16,0,0.0,0.9222,1,2026-05-02T11:56:42Z,8-10,large,balanced,8-10_large_balanced
44153,44153,vehicle_reproduced,846,18,4,18,0,0.0,0.9128,1,2026-05-02T11:56:42Z,3-4,small,balanced,3-4_small_balanced
1476,1476,gas-drift,13910,128,6,128,0,0.0,0.5454,1,2026-05-02T11:56:42Z,5-7,large,balanced,5-7_large_balanced
1520,1520,robot-failures-lp5,164,90,5,90,0,0.0,0.4468,1,2026-05-02T11:56:42Z,5-7,small,imbalanced,5-7_small_imbalanced
44588,44588,eucalyptus_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,736,14,5,14,5,0.0435,0.4907,1,2026-05-02T11:56:42Z,5-7,small,imbalanced,5-7_small_imbalanced
44667,44667,first-order-theorem-proving_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,51,6,51,0,0.0,0.1904,1,2026-05-02T11:56:42Z,5-7,medium,imbalanced,5-7_medium_imbalanced
47000,47000,QSAR_Bioconcentration_classification,779,9,3,9,3,0.0,0.1391,3,2026-05-02T11:56:42Z,3-4,small,imbalanced,3-4_small_imbalanced
1497,1497,wall-robot-navigation,5456,24,4,24,0,0.0,0.1488,1,2026-05-02T11:56:42Z,3-4,medium,imbalanced,3-4_medium_imbalanced
44698,44698,Fashion-MNIST_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,100,10,100,0,0.0,1.0,1,2026-05-02T11:56:42Z,8-10,medium,balanced,8-10_medium_balanced
46871,46871,Advanced_IoT_Dataset,30000,12,6,12,1,0.0,1.0,2,2026-05-02T11:56:42Z,5-7,large,balanced,5-7_large_balanced
46551,46551,Corporate_Credit,2029,25,10,25,5,0.0,0.0015,3,2026-05-02T11:56:42Z,8-10,medium,imbalanced,8-10_medium_imbalanced
188,188,eucalyptus,736,14,5,14,5,0.0435,0.4907,1,2026-05-02T11:56:42Z,5-7,small,imbalanced,5-7_small_imbalanced
44514,44514,dilbert_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,100,5,100,0,0.0,0.9341,1,2026-05-02T11:56:42Z,5-7,medium,balanced,5-7_medium_balanced
44626,44626,mfeat-factors_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,100,10,100,0,0.0,1.0,1,2026-05-02T11:56:42Z,8-10,medium,balanced,8-10_medium_balanced
46519,46519,Credit_Risk_Modeling,51336,56,4,56,5,0.0,0.1802,1,2026-05-02T11:56:42Z,3-4,large,imbalanced,3-4_large_imbalanced
44610,44610,pc4_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,1458,37,2,37,0,0.0,0.1391,1,2026-05-02T11:56:42Z,binary,medium,imbalanced,binary_medium_imbalanced
44735,44735,volkert_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,100,10,100,0,0.0,0.1071,1,2026-05-02T11:56:42Z,8-10,medium,imbalanced,8-10_medium_imbalanced
44382,44382,pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,26,2,26,0,0.0,1.0,1,2026-05-02T11:56:42Z,binary,medium,balanced,binary_medium_balanced
44553,44553,vehicle_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,846,18,4,18,0,0.0,0.9128,1,2026-05-02T11:56:42Z,3-4,small,balanced,3-4_small_balanced
44573,44573,arcene_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,100,100,2,100,0,0.0,0.7857,1,2026-05-02T11:56:42Z,binary,small,balanced,binary_small_balanced
970,970,analcatdata_authorship,841,70,2,70,0,0.0,0.605,2,2026-05-02T11:56:42Z,binary,small,balanced,binary_small_balanced
46382,46382,company_quality_and_valuation_finance,719,9,6,9,1,0.0,0.2529,1,2026-05-02T11:56:42Z,5-7,small,imbalanced,5-7_small_imbalanced
46549,46549,Corporate_Credit,2029,25,10,25,5,0.0,0.0015,1,2026-05-02T11:56:42Z,8-10,medium,imbalanced,8-10_medium_imbalanced
377,377,synthetic_control,600,60,6,60,0,0.0,1.0,1,2026-05-02T11:56:42Z,5-7,small,balanced,5-7_small_balanced
44672,44672,GesturePhaseSegmentationProcessed_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,32,5,32,0,0.0,0.3378,1,2026-05-02T11:56:42Z,5-7,medium,imbalanced,5-7_medium_imbalanced
44577,44577,arcene_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,100,100,2,100,0,0.0,0.7857,1,2026-05-02T11:56:42Z,binary,small,balanced,binary_small_balanced
40691,40691,wine-quality-red,1599,11,6,11,0,0.0,0.0147,1,2026-05-02T11:56:42Z,5-7,medium,imbalanced,5-7_medium_imbalanced
44778,44778,KDDCup99_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,32,8,32,9,0.0,0.0,1,2026-05-02T11:56:42Z,8-10,medium,imbalanced,8-10_medium_imbalanced
41801,41801,FOREX_eursgd-day-High,1832,10,2,10,1,0.0,0.9284,1,2026-05-02T11:56:42Z,binary,medium,balanced,binary_medium_balanced
44555,44555,vehicle_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,846,18,4,18,0,0.0,0.9128,1,2026-05-02T11:56:42Z,3-4,small,balanced,3-4_small_balanced
46570,46570,Corporate_Credit_Ratings,2029,28,10,28,17,0.0,0.0015,1,2026-05-02T11:56:42Z,8-10,medium,imbalanced,8-10_medium_imbalanced
716,716,fri_c3_100_50,100,50,2,50,0,0.0,0.6129,2,2026-05-02T11:56:42Z,binary,small,balanced,binary_small_balanced
775,775,fri_c2_100_25,100,25,2,25,0,0.0,0.7544,2,2026-05-02T11:56:42Z,binary,small,balanced,binary_small_balanced
768,768,fri_c3_100_25,100,25,2,25,0,0.0,0.8182,2,2026-05-02T11:56:42Z,binary,small,balanced,binary_small_balanced
762,762,fri_c2_100_10,100,10,2,10,0,0.0,0.8182,2,2026-05-02T11:56:42Z,binary,small,balanced,binary_small_balanced
812,812,fri_c1_100_25,100,25,2,25,0,0.0,0.8868,2,2026-05-02T11:56:42Z,binary,small,balanced,binary_small_balanced
808,808,fri_c0_100_10,100,10,2,10,0,0.0,0.8182,2,2026-05-02T11:56:42Z,binary,small,balanced,binary_small_balanced
868,868,fri_c4_100_25,100,25,2,25,0,0.0,0.8519,2,2026-05-02T11:56:42Z,binary,small,balanced,binary_small_balanced
1513,1513,heart-switzerland,123,12,5,12,0,0.0,0.1042,1,2026-05-02T11:56:42Z,5-7,small,imbalanced,5-7_small_imbalanced
1512,1512,heart-long-beach,200,13,5,13,0,0.0,0.1786,1,2026-05-02T11:56:42Z,5-7,small,imbalanced,5-7_small_imbalanced
9,9,autos,205,15,6,15,10,0.0185,0.0,1,2026-05-02T11:56:42Z,5-7,small,imbalanced,5-7_small_imbalanced
952,952,prnn_fglass,214,9,6,9,0,0.0,0.1184,1,2026-05-02T11:56:42Z,5-7,small,imbalanced,5-7_small_imbalanced
41,41,glass,214,9,6,9,0,0.0,0.0,1,2026-05-02T11:56:42Z,5-7,small,imbalanced,5-7_small_imbalanced
46334,46334,glass_clean,214,9,6,9,0,0.0,0.1184,1,2026-05-02T11:56:42Z,5-7,small,imbalanced,5-7_small_imbalanced
41703,41703,MIP-2016-classification,218,145,5,145,2,0.0,0.0119,1,2026-05-02T11:56:42Z,5-7,small,imbalanced,5-7_small_imbalanced
41939,41939,MIP-2016-PAR10-classification,218,143,5,143,0,0.0,0.0119,1,2026-05-02T11:56:42Z,5-7,small,imbalanced,5-7_small_imbalanced
1551,1551,autoUniv-au6-400,400,37,8,37,3,0.0,0.2252,1,2026-05-02T11:56:42Z,8-10,small,imbalanced,8-10_small_imbalanced
41701,41701,CPMP-2015-classification,527,24,4,24,2,0.0,0.375,1,2026-05-02T11:56:42Z,3-4,small,imbalanced,3-4_small_imbalanced
41919,41919,CPMP-2015-runtime-classification,527,22,4,22,0,0.0,0.375,1,2026-05-02T11:56:42Z,3-4,small,imbalanced,3-4_small_imbalanced
46879,46879,mental_health_detection,540,14,4,14,0,0.0,0.6782,2,2026-05-02T11:56:42Z,3-4,small,balanced,3-4_small_balanced
46761,46761,mental_health_detection,540,15,10,15,0,0.0,0.0064,1,2026-05-02T11:56:42Z,8-10,small,imbalanced,8-10_small_imbalanced
1553,1553,autoUniv-au7-700,700,8,3,8,4,0.0,0.8735,1,2026-05-02T11:56:42Z,3-4,small,balanced,3-4_small_balanced
46505,46505,total_score,719,10,4,10,0,0.0,0.1055,1,2026-05-02T11:56:42Z,3-4,small,imbalanced,3-4_small_imbalanced
46827,46827,QSAR_Bioconcentration_classification,779,9,3,9,3,0.0,0.1391,2,2026-05-02T11:56:42Z,3-4,small,imbalanced,3-4_small_imbalanced
458,458,analcatdata_authorship,841,70,4,70,0,0.0,0.1735,1,2026-05-02T11:56:42Z,3-4,small,imbalanced,3-4_small_imbalanced
44556,44556,vehicle_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,846,18,4,18,0,0.0,0.9128,1,2026-05-02T11:56:42Z,3-4,small,balanced,3-4_small_balanced
44554,44554,vehicle_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,846,18,4,18,0,0.0,0.9128,1,2026-05-02T11:56:42Z,3-4,small,balanced,3-4_small_balanced
44557,44557,vehicle_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,846,18,4,18,0,0.0,0.9128,1,2026-05-02T11:56:42Z,3-4,small,balanced,3-4_small_balanced
1555,1555,autoUniv-au6-1000,1000,37,8,37,3,0.0,0.3708,1,2026-05-02T11:56:42Z,8-10,small,imbalanced,8-10_small_imbalanced
44606,44606,cnae-9_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,1080,100,9,100,0,0.0,1.0,1,2026-05-02T11:56:42Z,8-10,medium,balanced,8-10_medium_balanced
44603,44603,cnae-9_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,1080,100,9,100,0,0.0,1.0,1,2026-05-02T11:56:42Z,8-10,medium,balanced,8-10_medium_balanced
44607,44607,cnae-9_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,1080,100,9,100,0,0.0,1.0,1,2026-05-02T11:56:42Z,8-10,medium,balanced,8-10_medium_balanced
44604,44604,cnae-9_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,1080,100,9,100,0,0.0,1.0,1,2026-05-02T11:56:42Z,8-10,medium,balanced,8-10_medium_balanced
46788,46788,mice,1095,77,8,77,4,0.0226,0.7,2,2026-05-02T11:56:42Z,8-10,medium,balanced,8-10_medium_balanced
